Open,High,Low,Close,Volume ,Moving Average 50,NextHigherorLower,Open1Prev,High1Prev,Low1Prev,Close1Prev,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12
420.26,420.95,420.1796,420.75,709000,796312,0,419.545,420.4,419.48,420.26,419.45,419.95,419.23,419.545,420.58,420.58,419.39,419.45,420.39,421,420.29,420.58
420.72,421.22,420.21,420.25,1026600,800640,0,420.26,420.95,420.1796,420.75,419.545,420.4,419.48,420.26,419.45,419.95,419.23,419.545,420.58,420.58,419.39,419.45
420.24,420.32,419.44,419.55,891800,802736,0,420.72,421.22,420.21,420.25,420.26,420.95,420.1796,420.75,419.545,420.4,419.48,420.26,419.45,419.95,419.23,419.545
419.54,419.97,418.61,418.73,1195400,807974,0,420.24,420.32,419.44,419.55,420.72,421.22,420.21,420.25,420.26,420.95,420.1796,420.75,419.545,420.4,419.48,420.26
418.72,418.78,417.61,417.79,1714600,822764,1,419.54,419.97,418.61,418.73,420.24,420.32,419.44,419.55,420.72,421.22,420.21,420.25,420.26,420.95,420.1796,420.75
417.79,418.56,417.73,418.39,1432700,832124,0,418.72,418.78,417.61,417.79,419.54,419.97,418.61,418.73,420.24,420.32,419.44,419.55,420.72,421.22,420.21,420.25
418.39,418.55,417.79,417.96,1164000,839800,0,417.79,418.56,417.73,418.39,418.72,418.78,417.61,417.79,419.54,419.97,418.61,418.73,420.24,420.32,419.44,419.55
417.95,418.22,417.24,417.49,2164100,861714,1,418.39,418.55,417.79,417.96,417.79,418.56,417.73,418.39,418.72,418.78,417.61,417.79,419.54,419.97,418.61,418.73
417.49,418.2,417.11,418.1716,1668400,882844,0,417.95,418.22,417.24,417.49,418.39,418.55,417.79,417.96,417.79,418.56,417.73,418.39,418.72,418.78,417.61,417.79
418.1716,418.43,417.4,418.09,1745600,900430,0,417.49,418.2,417.11,418.1716,417.95,418.22,417.24,417.49,418.39,418.55,417.79,417.96,417.79,418.56,417.73,418.39
418.09,418.45,417.2,417.49,2586300,925844,0,418.1716,418.43,417.4,418.09,417.49,418.2,417.11,418.1716,417.95,418.22,417.24,417.49,418.39,418.55,417.79,417.96
417.49,418.31,417.02,417.12,3725800,980668,0,418.09,418.45,417.2,417.49,418.1716,418.43,417.4,418.09,417.49,418.2,417.11,418.1716,417.95,418.22,417.24,417.49
417.115,417.68,416.07,416.11,6964300,1107906,1,417.49,418.31,417.02,417.12,418.09,418.45,417.2,417.49,418.1716,418.43,417.4,418.09,417.49,418.2,417.11,418.1716
417.38,418.49,417.15,417.91,3657700,1167356,1,417.115,417.68,416.07,416.11,417.49,418.31,417.02,417.12,418.09,418.45,417.2,417.49,418.1716,418.43,417.4,418.09
417.91,418.76,417.8,418.42,2189800,1194730,1,417.38,418.49,417.15,417.91,417.115,417.68,416.07,416.11,417.49,418.31,417.02,417.12,418.09,418.45,417.2,417.49
418.42,420.58,418.24,420.53,2292000,1225456,1,417.91,418.76,417.8,418.42,417.38,418.49,417.15,417.91,417.115,417.68,416.07,416.11,417.49,418.31,417.02,417.12
420.54,421.765,420.44,421.37,2434000,1260088,0,418.42,420.58,418.24,420.53,417.91,418.76,417.8,418.42,417.38,418.49,417.15,417.91,417.115,417.68,416.07,416.11
421.38,422.02,420.53,420.75,1813000,1283310,0,420.54,421.765,420.44,421.37,418.42,420.58,418.24,420.53,417.91,418.76,417.8,418.42,417.38,418.49,417.15,417.91
420.73,420.99,420.375,420.75,1043000,1286526,0,421.38,422.02,420.53,420.75,420.54,421.765,420.44,421.37,418.42,420.58,418.24,420.53,417.91,418.76,417.8,418.42
420.75,421.76,419.2306,419.5054,1871400,1307108,0,420.73,420.99,420.375,420.75,421.38,422.02,420.53,420.75,420.54,421.765,420.44,421.37,418.42,420.58,418.24,420.53
419.5,419.78,418.79,419.07,1654700,1317916,0,420.75,421.76,419.2306,419.5054,420.73,420.99,420.375,420.75,421.38,422.02,420.53,420.75,420.54,421.765,420.44,421.37
419.07,421.77,416.91,417.0056,1889000,1341754,0,419.5,419.78,418.79,419.07,420.75,421.76,419.2306,419.5054,420.73,420.99,420.375,420.75,421.38,422.02,420.53,420.75
417.02,417.05,415.81,416.4365,2175800,1374406,1,419.07,421.77,416.91,417.0056,419.5,419.78,418.79,419.07,420.75,421.76,419.2306,419.5054,420.73,420.99,420.375,420.75
416.41,417.7,416.24,417.2,1827600,1397896,0,417.02,417.05,415.81,416.4365,419.07,421.77,416.91,417.0056,419.5,419.78,418.79,419.07,420.75,421.76,419.2306,419.5054
417.19,417.76,415.89,415.94,1113100,1410680,1,416.41,417.7,416.24,417.2,417.02,417.05,415.81,416.4365,419.07,421.77,416.91,417.0056,419.5,419.78,418.79,419.07
415.94,416.08,415.01,415.99,2150500,1441144,1,417.19,417.76,415.89,415.94,416.41,417.7,416.24,417.2,417.02,417.05,415.81,416.4365,419.07,421.77,416.91,417.0056
415.98,417.82,415.81,417.51,1721400,1459028,1,415.94,416.08,415.01,415.99,417.19,417.76,415.89,415.94,416.41,417.7,416.24,417.2,417.02,417.05,415.81,416.4365
417.51,418.36,417.35,418.05,1265800,1464720,1,415.98,417.82,415.81,417.51,415.94,416.08,415.01,415.99,417.19,417.76,415.89,415.94,416.41,417.7,416.24,417.2
418.05,419.2794,417.77,419.22,1313900,1478636,0,417.51,418.36,417.35,418.05,415.98,417.82,415.81,417.51,415.94,416.08,415.01,415.99,417.19,417.76,415.89,415.94
419.23,419.32,418.12,418.19,1119400,1490122,0,418.05,419.2794,417.77,419.22,417.51,418.36,417.35,418.05,415.98,417.82,415.81,417.51,415.94,416.08,415.01,415.99
418.195,418.82,417.97,418.0262,847600,1489938,1,419.23,419.32,418.12,418.19,418.05,419.2794,417.77,419.22,417.51,418.36,417.35,418.05,415.98,417.82,415.81,417.51
418.0262,419.92,417.97,418.76,1499600,1506502,0,418.195,418.82,417.97,418.0262,419.23,419.32,418.12,418.19,418.05,419.2794,417.77,419.22,417.51,418.36,417.35,418.05
418.76,418.89,417.96,418.29,983000,1510788,1,418.0262,419.92,417.97,418.76,418.195,418.82,417.97,418.0262,419.23,419.32,418.12,418.19,418.05,419.2794,417.77,419.22
418.29,419.21,417.71,418.39,1158000,1516038,1,418.76,418.89,417.96,418.29,418.0262,419.92,417.97,418.76,418.195,418.82,417.97,418.0262,419.23,419.32,418.12,418.19
418.38,419.61,418.38,419.37,1285100,1520774,0,418.29,419.21,417.71,418.39,418.76,418.89,417.96,418.29,418.0262,419.92,417.97,418.76,418.195,418.82,417.97,418.0262
419.37,419.83,418.39,419.31,1116800,1522924,1,418.38,419.61,418.38,419.37,418.29,419.21,417.71,418.39,418.76,418.89,417.96,418.29,418.0262,419.92,417.97,418.76
419.31,420.0299,419.08,419.8,1050800,1528316,1,419.37,419.83,418.39,419.31,418.38,419.61,418.38,419.37,418.29,419.21,417.71,418.39,418.76,418.89,417.96,418.29
419.82,420.77,419.78,420.72,1467000,1543916,0,419.31,420.0299,419.08,419.8,419.37,419.83,418.39,419.31,418.38,419.61,418.38,419.37,418.29,419.21,417.71,418.39
420.725,420.82,420.3,420.36,911400,1544268,1,419.82,420.77,419.78,420.72,419.31,420.0299,419.08,419.8,419.37,419.83,418.39,419.31,418.38,419.61,418.38,419.37
420.3621,421,420.05,420.39,912200,1545024,0,420.725,420.82,420.3,420.36,419.82,420.77,419.78,420.72,419.31,420.0299,419.08,419.8,419.37,419.83,418.39,419.31
