Date,Open,High,Low,Close,FW Moving Average 25,RWG
5/19/22 11:50,392.92,393.34,392.74,393.02,391.2715,Green
5/19/22 11:52,393.02,393.17,392.62,392.79,391.4423,White
5/19/22 11:54,392.79,392.86,392.27,392.27,391.5641,Red
5/19/22 11:56,392.26,392.42,391.5,391.77,391.6402,Red
5/19/22 11:58,391.77,391.77,391.29,391.48,391.6842,Red
5/19/22 12:00,391.48,392.04,391.44,391.895,391.752,Green
5/19/22 12:02,391.895,392.08,391.51,391.71,391.7976,White
5/19/22 12:04,391.74,392.21,391.52,392.09,391.8678,Green
5/19/22 12:06,392.09,392.24,391.72,391.74,391.9033,White
5/19/22 12:08,391.74,392.48,391.725,392.295,391.9736,Green
5/19/22 12:10,392.3,392.435,392.05,392.27,392.0324,White
5/19/22 12:12,392.27,392.79,392.25,392.75,392.1197,Green
5/19/22 12:14,392.77,392.775,392.34,392.6,392.1861,White
5/19/22 12:16,392.62,392.89,392.311,392.78,392.2581,Green
5/19/22 12:18,392.78,393,392.6,392.64,392.3109,White
5/19/22 12:20,392.66,392.72,391.7,391.93,392.2994,Red
5/19/22 12:22,391.93,391.95,390.77,391.2539,392.2285,Red
5/19/22 12:24,391.27,391.7,391.19,391.38,392.1646,White
5/19/22 12:26,391.37,391.58,391.15,391.4,392.1001,White
5/19/22 12:28,391.4,391.46,390.92,391.31,392.0279,White
5/19/22 12:30,391.26,391.85,391.0466,391.7,391.988,Green
5/19/22 12:32,391.71,391.92,391.23,391.42,391.9279,White
5/19/22 12:34,391.42,391.49,390.97,391.15,391.852,Red
5/19/22 12:36,391.15,391.4,390.51,390.5968,391.7402,Red
5/19/22 12:38,390.5968,390.83,390.28,390.4,391.6198,Red
5/19/22 12:40,390.43,390.49,390,390.07,391.4816,Red
5/19/22 12:42,390.06,390.22,389.26,389.4951,391.3083,Red
5/19/22 12:44,389.4951,389.9175,389.42,389.51,391.1464,White
5/19/22 12:46,389.51,389.56,389.07,389.07,390.959,Red
5/19/22 12:48,389.07,389.22,388.87,389.1819,390.7886,White
5/19/22 12:50,389.1819,389.39,388.82,389.1099,390.6197,White
5/19/22 12:52,389.09,389.55,389.07,389.42,390.4832,Green
5/19/22 12:54,389.42,389.69,389.3115,389.45,390.3561,White
5/19/22 12:56,389.44,389.71,388.8589,389.4228,390.235,White
5/19/22 12:58,389.42,390.0499,389.21,389.98,390.1639,Green
5/19/22 13:00,390,390.05,389.74,389.96,390.0984,White
5/19/22 13:02,389.96,390.24,389.9028,389.96,390.04,White
5/19/22 13:04,389.96,389.96,389.3,389.54,389.9579,Red
5/19/22 13:06,389.54,390.32,389.51,390.21,389.9367,Green
5/19/22 13:08,390.21,390.58,389.89,390.0763,389.9131,White
5/19/22 13:10,390.05,390.1,389.32,389.76,389.8732,Red
5/19/22 13:12,389.78,389.91,388.65,389.1,389.7891,Red
5/19/22 13:14,389.1,389.2192,388.48,388.58,389.6716,Red
5/19/22 13:16,388.58,388.83,388.33,388.4602,389.5536,Red
5/19/22 13:18,388.48,388.76,388.37,388.76,389.4676,White
5/19/22 13:20,388.76,389.63,388.67,389.63,389.4565,Green
5/19/22 13:22,389.63,389.76,389.145,389.48,389.4401,White
5/19/22 13:24,389.48,390.24,389.26,390.03,389.472,Green
5/19/22 13:26,390.02,390.33,389.67,390.21,389.5212,White
5/19/22 13:28,390.21,390.26,389.7732,389.9939,389.555,White
5/19/22 13:30,389.9939,390.0375,389.37,389.6397,389.5628,Red
5/19/22 13:32,389.65,390.49,389.28,390.33,389.625,Green
5/19/22 13:34,390.32,390.57,390.18,390.39,389.6893,White
5/19/22 13:36,390.39,390.425,389.52,390.015,389.722,Red
5/19/22 13:38,390.015,390.34,389.71,389.7916,389.7346,White
5/19/22 13:40,389.7916,390.4,389.47,390.22,389.7783,White
5/19/22 13:42,390.22,390.29,389.77,389.795,389.7859,White
5/19/22 13:44,389.795,390.35,389.77,390.35,389.8351,Green
5/19/22 13:46,390.35,390.65,390.03,390.45,389.8891,Green
5/19/22 13:48,390.45,390.48,389.3,389.34,389.8546,Red
5/19/22 13:50,389.34,389.39,388.48,388.66,389.7698,Red
5/19/22 13:52,388.645,389.63,388.54,389.4401,389.7489,Green
5/19/22 13:54,389.44,390.11,389.26,389.9,389.7651,Green
5/19/22 13:56,389.91,391.38,389.85,391.22,389.8817,Green
5/19/22 13:58,391.22,392.25,391.18,392.11,390.0636,Green
5/19/22 14:00,392.11,392.2,391.49,391.75,390.2116,White
5/19/22 14:02,391.75,391.8542,390.72,390.77,390.278,Red
5/19/22 14:04,390.78,391.36,390.75,390.845,390.3452,White
5/19/22 14:06,390.83,390.99,390.53,390.63,390.3888,Red
5/19/22 14:08,390.62,390.83,390,390.82,390.4403,White
5/19/22 14:10,390.82,390.89,390.452,390.7472,390.4799,White
5/19/22 14:12,390.7472,391.34,390.73,391.2,390.5509,Green
5/19/22 14:14,391.21,391.44,390.5,390.54,390.5658,Red
5/19/22 14:16,390.513,391.27,390.36,391.115,390.6234,White
5/19/22 14:18,391.115,391.44,390.57,390.895,390.6613,White
5/19/22 14:20,390.895,390.93,390.35,390.42,390.6599,Red
5/19/22 14:22,390.42,391.11,390.08,391.1,390.7083,Green
5/19/22 14:24,391.1,391.3,390.62,390.85,390.7352,White
5/19/22 14:26,390.85,391.1,390.65,390.91,390.7653,White
5/19/22 14:28,390.88,390.9999,390.28,390.71,390.7773,White
5/19/22 14:30,390.71,391.13,390.63,390.8955,390.8006,White
5/19/22 14:32,390.8955,391.39,390.44,391.2729,390.851,Green
5/19/22 14:34,391.2729,391.4,390.6209,390.79,390.8596,White
5/19/22 14:36,390.79,391.07,390.47,390.99,390.8823,White
5/19/22 14:38,390.99,391.93,390.76,391.9227,390.975,Green
5/19/22 14:40,391.9227,392.24,391.56,391.63,391.0374,White
5/19/22 14:42,391.63,391.63,390.44,390.713,391.02,Red
5/19/22 14:44,390.713,391.12,390.46,391.03,391.0231,White
5/19/22 14:46,391.03,391.92,390.94,391.7081,391.0748,Green
5/19/22 14:48,391.71,392.2,391.52,391.9999,391.1476,Green
5/19/22 14:50,391.9999,392.57,391.97,392.52,391.2606,Green
5/19/22 14:52,392.52,393.02,392.2855,392.42,391.3636,White
5/19/22 14:54,392.42,392.95,392.13,392.85,391.4946,White
5/19/22 14:56,392.86,393.13,392.48,392.63,391.6025,White
5/19/22 14:58,392.63,392.83,391.88,391.9999,391.6558,Red
5/19/22 15:00,391.9999,392.84,391.81,392.79,391.7662,White
5/19/22 15:02,392.79,393.2,392.47,392.805,391.8716,White
5/19/22 15:04,392.77,393.97,392.55,393.8599,392.053,Green
5/19/22 15:06,393.84,394.14,393.43,393.72,392.2136,White
5/19/22 15:08,393.72,393.84,393.28,393.58,392.3553,White
5/19/22 15:10,393.56,393.7,392.57,392.59,392.4127,Red
5/19/22 15:12,392.59,392.69,392.01,392.455,392.4529,Red
5/19/22 15:14,392.455,392.7,391.89,391.9042,392.4467,Red
5/19/22 15:16,391.9042,392.4,391.621,392.15,392.4561,White
5/19/22 15:18,392.15,392.22,391.83,391.93,392.4447,White
5/19/22 15:20,391.93,391.98,391.1,391.4,392.3889,Red
5/19/22 15:22,391.41,391.46,390.91,391.05,392.3045,Red
5/19/22 15:24,391.05,391.06,390.44,390.62,392.1878,Red
5/19/22 15:26,390.62,390.74,390.14,390.52,392.0639,White
5/19/22 15:28,390.525,390.81,390.06,390.12,391.9107,Red
5/19/22 15:30,390.13,390.29,389.78,389.83,391.7407,Red
5/19/22 15:32,389.83,390.43,389.61,390.19,391.6039,White
5/19/22 15:34,390.2,390.35,389.66,389.92,391.448,White
