Date,Open,High,Low,Close,FW Moving Average 25,Volume ,NextHigherorLower
5/6/22 14:10,409.84,409.84,408.59,408.63,411.42,1297300,1
5/6/22 14:15,408.63,409.89,408.59,409.47,411.25,1201400,0
5/6/22 14:20,409.47,410.24,409.31,409.38,411.08,942400,0
5/6/22 14:25,409.36,409.75,408.88,409.15,410.9,961700,0
5/6/22 14:30,409.15,409.25,408.32,408.77,410.69,1300000,0
5/6/22 14:35,408.73,409.2,407.97,408.33,410.46,1600200,0
5/6/22 14:40,408.31,408.76,407.89,408.27,410.23,1030500,0
5/6/22 14:45,408.27,408.91,407.97,408.03,410,927100,1
5/6/22 14:50,408.04,409.47,407.8,409.31,409.87,1211200,1
5/6/22 14:55,409.32,410.39,409.18,410.22,409.83,1581900,0
5/6/22 15:00,410.22,410.64,408.88,408.94,409.69,1339900,1
5/6/22 15:05,408.92,409.28,408.31,409.14,409.58,1231000,0
5/6/22 15:10,409.14,409.44,407.79,408.14,409.41,1237300,1
5/6/22 15:15,408.13,408.89,408.04,408.17,409.25,938400,1
5/6/22 15:20,408.17,408.66,407.66,408.53,409.15,1478900,0
5/6/22 15:25,408.53,408.61,407.45,407.6,408.98,1289000,1
5/6/22 15:30,407.6,408.94,407.36,408.63,408.9,1661700,1
5/6/22 15:35,408.63,409.83,408.57,409.55,408.9,1948500,1
5/6/22 15:40,409.55,412.06,409.48,411.84,409.09,3731400,0
5/6/22 15:45,411.85,412.18,410.8,411.09,409.22,3101600,1
5/6/22 15:50,411.09,412.61,410.62,411.91,409.42,2863400,0
5/6/22 15:55,411.91,412.98,411.35,411.39,409.57,2969600,0
5/6/22 16:00,411.39,411.72,410.9,411.38,409.73,5057400,0
5/9/22 9:35,405.2,405.74,404.06,405.08,409.39,3513100,1
5/9/22 9:40,405.08,406.41,404.4,405.72,409.12,3464600,0
5/9/22 9:45,405.7,405.91,404.45,405.49,408.85,2709900,0
5/9/22 9:50,405.49,405.49,403.27,404.01,408.47,2358600,1
5/9/22 9:55,404.03,406.05,403.52,405.78,408.24,2294400,0
5/9/22 10:00,405.78,405.88,404.47,405.18,407.98,1523000,0
5/9/22 10:05,405.18,405.46,403.88,404.49,407.68,1994200,0
5/9/22 10:10,404.49,404.83,402.93,402.98,407.27,1335800,1
5/9/22 10:15,402.99,404.87,402.96,404.31,406.99,1615700,0
5/9/22 10:20,404.33,404.91,403.35,403.64,406.66,1375800,0
5/9/22 10:25,403.64,404,402.66,402.69,406.27,1448300,0
5/9/22 10:30,402.69,403.33,402.26,402.46,405.89,1668400,1
5/9/22 10:35,402.45,402.81,401.86,402.6,405.54,1778200,0
5/9/22 10:40,402.58,402.73,401.19,401.24,405.11,1441300,1
5/9/22 10:45,401.24,402.57,401.21,402.38,404.79,1875700,1
5/9/22 10:50,402.38,403.13,402.17,402.61,404.5,1396400,0
5/9/22 10:55,402.61,403.04,401.31,401.32,404.14,1202800,0
5/9/22 11:00,401.32,402,400.72,400.96,403.76,1704300,1
5/9/22 11:05,400.96,401.69,400.73,401.28,403.43,1762800,0
5/9/22 11:10,401.28,401.28,400.41,401.17,403.12,1885000,0
5/9/22 11:15,401.13,401.74,400.59,400.92,402.81,983100,1
5/9/22 11:20,400.92,401.81,400.84,401.11,402.55,1384200,0
5/9/22 11:25,401.11,401.15,400.35,400.57,402.28,1226600,0
5/9/22 11:30,400.56,400.64,399.9,400.13,402.01,1859500,1
5/9/22 11:35,400.13,400.47,399.34,400.35,401.8,2338100,1
5/9/22 11:40,400.35,401.59,400.13,401.58,401.71,1793000,0
5/9/22 11:45,401.58,402.14,401.06,401.46,401.62,1445100,0
5/9/22 11:50,401.46,401.97,401.17,401.39,401.54,864900,1
5/9/22 11:55,401.39,402.33,401.36,402.14,401.53,1381600,0
5/9/22 12:00,402.14,402.51,401.59,401.9,401.51,998300,0
5/9/22 12:05,401.9,401.92,400.64,400.92,401.42,1128000,1
5/9/22 12:10,400.92,403.15,400.8,402.41,401.46,1523200,1
5/9/22 12:15,402.41,403.57,402.41,403.34,401.58,1338000,1
5/9/22 12:20,403.32,404.15,403.27,403.55,401.72,1469800,1
5/9/22 12:25,403.55,404.04,402.92,403.69,401.87,1182000,0
5/9/22 12:30,403.69,403.99,402.63,403.2,401.98,883200,1
5/9/22 12:35,403.19,403.91,402.57,403.4,402.1,1024400,0
5/9/22 12:40,403.4,403.41,401.77,401.79,402.1,1096900,0
5/9/22 12:45,401.78,402.16,401.47,401.59,402.08,801000,0
5/9/22 12:50,401.59,401.68,401.08,401.36,402.05,915900,0
5/9/22 12:55,401.36,401.4,400.77,400.88,401.98,755400,0
5/9/22 13:00,400.88,401.25,400.68,400.72,401.9,712700,0
5/9/22 13:05,400.72,401.08,400.4,400.54,401.82,787300,1
5/9/22 13:10,400.54,400.91,400.41,400.68,401.74,743200,0
5/9/22 13:15,400.68,400.68,400.1,400.23,401.63,898100,1
5/9/22 13:20,400.23,401.17,400.13,400.91,401.58,921200,0
5/9/22 13:25,400.91,400.91,400.25,400.58,401.5,785700,1
5/9/22 13:30,400.58,401.82,400.56,401.58,401.5,1301200,0
5/9/22 13:35,401.58,401.96,400.29,400.34,401.41,1342000,0
5/9/22 13:40,400.32,400.4,399.83,400.23,401.3,1031400,1
5/9/22 13:45,400.22,401.68,400.12,401.49,401.29,1084600,0
5/9/22 13:50,401.49,401.86,400.81,400.96,401.24,980500,0
5/9/22 13:55,400.96,401.1,399.41,399.78,401.1,1379000,1
5/9/22 14:00,399.78,400.96,399.63,400.54,401.02,1025300,1
5/9/22 14:05,400.54,401.32,400.48,400.85,400.98,1032400,0
5/9/22 14:10,400.85,401.18,400.04,400.41,400.9,898200,1
5/9/22 14:15,400.43,401.15,400.11,400.42,400.82,798800,1
5/9/22 14:20,400.4,401.56,400.4,401.39,400.83,941500,0
5/9/22 14:25,401.39,401.43,400.02,400.19,400.75,817700,0
5/9/22 14:30,400.19,400.33,399.61,400.1,400.67,1328200,0
5/9/22 14:35,400.09,400.23,399.11,399.77,400.58,1485600,1
5/9/22 14:40,399.77,400.75,399.63,399.97,400.51,1618700,0
5/9/22 14:45,399.97,400.39,399.71,399.97,400.46,1044400,1
5/9/22 14:50,399.96,401.14,399.91,400.03,400.41,1615200,1
5/9/22 14:55,400.03,400.94,399.34,400.6,400.41,1468900,1
5/9/22 15:00,400.59,401.62,400.58,401.27,400.47,1432900,0
5/9/22 15:05,401.27,402.28,400.81,401.06,400.51,1977300,1
5/9/22 15:10,401.06,402.42,400.78,401.12,400.55,1702300,1
5/9/22 15:15,401.12,402.51,401,402.35,400.69,1878100,0
5/9/22 15:20,402.33,402.58,400.1,401.43,400.75,1331400,0
5/9/22 15:25,401.41,401.41,399.84,399.97,400.69,1340700,0
5/9/22 15:30,399.96,400.16,399.24,399.69,400.62,1561900,0
5/9/22 15:35,399.69,399.69,398.67,399.27,400.52,2068100,1
5/9/22 15:40,399.27,399.62,398.75,399.33,400.42,1922400,0
5/9/22 15:45,399.33,399.41,398.3,398.5,400.27,2636600,0
5/9/22 15:50,398.5,398.79,397.37,397.68,400.06,2963700,0
5/9/22 15:55,397.67,397.84,396.5,397.36,399.84,5349200,1
5/9/22 16:00,397.36,398.99,397.34,398.23,399.69,8000400,1
5/10/22 9:35,404.5,406.08,404.46,404.76,400.05,3724300,0
5/10/22 9:40,404.77,404.77,403.44,404.34,400.37,2283400,0
5/10/22 9:45,404.34,404.43,403.31,403.42,400.6,1330300,0
5/10/22 9:50,403.42,403.42,401.9,402.11,400.73,1755000,1
5/10/22 9:55,402.11,403.2,401.85,402.9,400.91,1667900,1
5/10/22 10:00,402.9,404.16,402.7,404.14,401.18,1827900,1
5/10/22 10:05,404.16,404.54,403.17,404.41,401.46,1552500,0
5/10/22 10:10,404.41,405.04,403.95,404.09,401.7,1356400,0
5/10/22 10:15,404.09,404.74,402.97,403.39,401.88,1321900,1
5/10/22 10:20,403.36,404.26,403.25,403.7,402.06,1052800,0
5/10/22 10:25,403.7,404.19,402.32,403.03,402.19,1117400,0
5/10/22 10:30,403.03,403.14,401.86,402.46,402.26,1287700,0
5/10/22 10:35,402.51,402.79,401.56,401.95,402.29,1178700,0
5/10/22 10:40,401.95,402.01,400.76,400.85,402.23,1040300,0
5/10/22 10:45,400.85,400.95,399.9,400.77,402.16,1467100,0
5/10/22 10:50,400.77,400.77,398.86,399.22,401.98,1856300,1
5/10/22 10:55,399.2,399.99,398.34,399.79,401.85,1953500,0
5/10/22 11:00,399.78,399.87,398.84,398.95,401.66,1325800,0
5/10/22 11:05,398.95,399.86,397.91,398.35,401.43,1663200,0
5/10/22 11:10,398.35,398.42,396.97,397.12,401.1,1770800,0
5/10/22 11:15,397.11,397.69,396.49,396.51,400.74,1923500,1
5/10/22 11:20,396.51,398.21,396.16,398.15,400.51,2038900,0
5/10/22 11:25,398.15,398.23,396.66,396.83,400.18,1569300,1
5/10/22 11:30,396.82,397.4,395.9,397.34,399.9,1606800,0
5/10/22 11:35,397.34,397.72,395.92,396.81,399.57,1594000,1
5/10/22 11:40,396.81,398.8,396.72,398.63,399.38,1274200,0
5/10/22 11:45,398.63,398.98,397.46,398.02,399.17,1381400,0
5/10/22 11:50,398.01,398.07,396.81,397,398.9,967400,1
5/10/22 11:55,396.98,397.18,396.05,397.1,398.66,1035700,1
5/10/22 12:00,397.1,397.88,395.77,397.41,398.46,1616700,1
5/10/22 12:05,397.41,398.49,397.02,398.45,398.35,1440000,0
5/10/22 12:10,398.44,398.5,396.37,396.49,398.11,1169800,1
5/10/22 12:15,396.49,397.62,396.13,396.88,397.92,1113500,0
5/10/22 12:20,396.88,397.81,396.38,396.43,397.72,719900,0
5/10/22 12:25,396.4,396.92,396.02,396.25,397.53,826600,1
5/10/22 12:30,396.25,396.83,396.02,396.39,397.38,815100,0
5/10/22 12:35,396.39,396.95,394.82,395.33,397.16,1653600,1
5/10/22 12:40,395.32,396.15,395.18,395.49,396.97,953800,1
5/10/22 12:45,395.49,396.55,395.25,396.33,396.88,953900,1
5/10/22 12:50,396.33,397.65,396.14,397.07,396.85,1353700,0
5/10/22 12:55,397.02,397.03,395.62,395.83,396.73,869500,1
5/10/22 13:00,395.79,396.36,395.62,395.95,396.64,653000,1
5/10/22 13:05,395.95,397.53,395.63,397.16,396.65,1290300,1
5/10/22 13:10,397.16,398.03,397.11,397.58,396.7,1190100,0
5/10/22 13:15,397.58,397.75,396.64,397.13,396.72,1147100,0
5/10/22 13:20,397.13,397.57,396.27,396.69,396.7,866200,1
5/10/22 13:25,396.69,397.19,396.1,396.9,396.7,986400,1
5/10/22 13:30,396.9,398.57,396.9,398.52,396.83,1215000,1
5/10/22 13:35,398.49,399.53,398.49,399.48,397.03,1538200,1
5/10/22 13:40,399.47,400.75,399.47,400.65,397.31,1841700,1
5/10/22 13:45,400.65,401.82,400.56,401.33,397.63,1569200,1
5/10/22 13:50,401.33,402.55,401.29,402.45,398.03,1333100,0
5/10/22 13:55,402.45,402.67,401.68,402.36,398.4,1224300,1
5/10/22 14:00,402.36,403.14,402.06,403.07,398.82,999700,0
5/10/22 14:05,403.07,403.26,402.28,402.96,399.21,1453100,0
5/10/22 14:10,403.02,403.18,401.85,401.91,399.5,1316100,1
5/10/22 14:15,401.91,403.11,401.66,402.87,399.85,1008500,0
5/10/22 14:20,402.86,402.95,400.47,401.88,400.11,1437800,0
5/10/22 14:25,401.88,402.36,400.85,401.06,400.29,1033000,0
5/10/22 14:30,401.06,401.25,399.88,400.71,400.43,1675600,0
5/10/22 14:35,400.71,401.06,400.25,400.58,400.54,821800,1
5/10/22 14:40,400.57,401.48,400.5,400.65,400.65,959800,1
5/10/22 14:45,400.65,402.32,399.97,402.07,400.85,1096100,0
5/10/22 14:50,402.07,402.2,400.27,401.2,400.97,1031400,1
5/10/22 14:55,401.2,401.83,400.76,401.64,401.1,911300,0
5/10/22 15:00,401.64,401.79,400.18,401.33,401.19,1215600,1
5/10/22 15:05,401.33,402.14,400.84,401.62,401.29,1694900,0
5/10/22 15:10,401.62,402.78,401.37,401.54,401.37,1115200,1
5/10/22 15:15,401.54,402.25,401.24,401.68,401.44,908100,1
5/10/22 15:20,401.66,402.33,400.94,401.74,401.51,1088100,0
5/10/22 15:25,401.74,401.89,400.09,400.3,401.45,1148400,0
5/10/22 15:30,400.3,400.52,399.37,399.77,401.34,1413900,0
5/10/22 15:35,399.77,399.79,398.77,399.39,401.19,1790900,0
